0,0
0,0
0,0
0.005638025,1167.366629
0.014813059,2387.898566
0.024757997,3185.055273
0.033933984,4311.541917
0.042344829,5391.17732
0.051523196,6282.550728
0.060699183,7409.037371
0.069874694,8582.546662
0.078288395,9380.046183
0.087464382,10506.53283
0.097405511,11679.87071
0.103518074,12901.08827
0.111935585,13322.40662
0.121878046,14364.08109
0.131818794,15575.03709
0.140994781,16701.52374
0.150170767,17828.01038
0.159346754,18954.49702
0.16775998,19799.01919
0.176173206,20643.54136
0.185502602,21741.78013
0.19605213,23319.37565
0.204464403,24257.94312
0.214408388,25149.14512
0.210601725,23033.98304
0.222821614,25993.66729
0.231997601,27120.15393
0.241173587,28246.64057
0.250349574,29373.12722
0.2587628,30217.64939
0.267938787,31344.13603
0.278646009,32470.27986
0.287676014,32891.46108
0.290874468,34583.55646
0.299289599,35239.98804
0.308466538,36272.42939
0.305421207,34580.29973
0.317643477,37304.87074
0.314597194,35706.78637
0.326823653,38017.55809
0.335999259,39181.66285
0.345940388,40355.00073
0.354967536,41058.31783
0.3635296,42326.00954
0.372706301,43381.96222
0.378819579,44532.64581
0.388004517,44775.10669
0.397175361,46409.43792
0.394132887,44435.17238
0.407116251,47606.28713
0.403314588,44997.38726
0.41553162,48239.20739
0.423941989,49365.86544
0.43388445,50407.53991
0.443825198,51618.49591
0.453001185,52744.98255
0.46141441,53589.50472
0.470590397,54715.99136
0.479766384,55842.47801
0.488946084,56602.188
0.498120738,57860.33806
0.496605691,56261.91088
0.507295773,59080.87
0.516476521,59737.13017
0.525651555,60957.66211
0.534825637,62272.23934
0.544004005,63163.61275
0.553179991,64290.09939
0.562355978,65416.58603
0.570769204,66261.1082
0.58070938,67528.49138
0.590652413,68513.73867
0.599066115,69311.2382
0.608239245,70719.86072
0.618024679,72147.15518
0.614359426,71188.71593
0.627357074,72949.15128
0.635769586,73864.20742
0.644945096,75037.71671
0.653358798,75835.21623
0.662534785,76961.70287
0.673242007,78087.8467
0.681653329,79120.45946
0.690828839,80293.96875
0.700619415,81213.41862
0.709182336,82396.46956
0.718359894,83367.78147
0.727537167,84367.30697
0.736708773,85926.40196
0.733658681,84704.49877
0.745890854,86450.99872
0.755831602,87661.95473
0.765007589,88788.44137
0.773420814,89632.96354
0.782596801,90759.45018
0.792384996,91914.01329
0.800949251,92965.40082
0.810124761,94138.91011
0.818537987,94983.43228
0.829245209,96109.57611
0.837659292,96869.45751
0.846832041,98315.69815
0.856010409,99207.07156
0.865186395,100333.5582
0.873599621,101178.0804
0.882775608,102304.567
0.892105004,103402.8058
0.901131867,104134.3365
0.911834804,105683.6841
0.92086081,106499.8556
0.929421636,107889.8062
0.938600003,108781.1796
0.947166067,109653.8811
0.956189216,110752.1884
0.965365202,111878.675
0.974541189,113005.1617
0.984484793,113933.9818
0.993658304,115304.9862
1.002073435,119961.4178
